"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENST00000341267.9-DLK1","OK",0,254.453800010354,0.820966824836786,"ENST00000341267.9-DLK1",0
"ENST00000242152.7-NPY","OK",0,177.409568562428,0.57237642683261,"ENST00000242152.7-NPY",0
"ENST00000350763.9-TNC","OK",0,163.364045560797,0.526711811808075,"ENST00000350763.9-TNC",0
"ENST00000551357.4-LHX5-AS1","OK",0,170.433548846704,0.548417768177368,"ENST00000551357.4-LHX5-AS1",0
"ENST00000378453.4-HES5","OK",0,158.97557953558,0.512844868999257,"ENST00000378453.4-HES5",0
"ENST00000394485.5-MT1X","OK",0,161.557068558787,0.52119287693901,"ENST00000394485.5-MT1X",0
"ENST00000313708.11-EBF1","OK",0,227.305805325714,0.73304896714102,"ENST00000313708.11-EBF1",0
"ENST00000260653.5-SIX3","OK",0,179.249992909748,0.578267270903982,"ENST00000260653.5-SIX3",0
"ENST00000366955.8-CENPF","OK",0,220.720067396252,0.712156933257924,"ENST00000366955.8-CENPF",0
"ENST00000693335.1-GNG8","OK",0,212.80569274156,0.686009002896871,"ENST00000693335.1-GNG8",0
"ENST00000369158.2-H3C14","OK",0,183.173586221898,0.590819617610266,"ENST00000369158.2-H3C14",0
"ENST00000358278.7-TPM1","OK",0,180.825147183293,0.583389916098863,"ENST00000358278.7-TPM1",0
"ENST00000449599.4-EOMES","OK",0,164.708718260054,0.527525515536237,"ENST00000449599.4-EOMES",0
"ENST00000305409.3-SCG2","OK",0,172.119918374977,0.555304537167746,"ENST00000305409.3-SCG2",0
"ENST00000368444.8-FABP7","OK",0,164.203789375701,0.529781467636563,"ENST00000368444.8-FABP7",0
"ENST00000624112.2-SLC1A3","OK",0,166.579765033598,0.53698472527696,"ENST00000624112.2-SLC1A3",0
"ENST00000356455.9-UBE2C","OK",0,222.541004014224,0.718024210483313,"ENST00000356455.9-UBE2C",0
"ENST00000356698.9-RSPO3","OK",0,223.122337087931,0.716242833732935,"ENST00000356698.9-RSPO3",0
"ENST00000296503.10-HMGB2","OK",0,185.348051127986,0.598024342915383,"ENST00000296503.10-HMGB2",0
"ENST00000423485.6-TOP2A","OK",0,216.242745326684,0.697723260001551,"ENST00000423485.6-TOP2A",0
"ENST00000284292.11-NRGN","OK",0,188.255059500851,0.607384864118794,"ENST00000284292.11-NRGN",0
"ENST00000333151.5-H2AC14","OK",0,182.001701531179,0.587151760730989,"ENST00000333151.5-H2AC14",0
"ENST00000295743.8-EOMES","OK",0,162.846195597547,0.521803636055329,"ENST00000295743.8-EOMES",0
"ENST00000482108.1-PEG10","OK",0,187.188543141951,0.603943979885631,"ENST00000482108.1-PEG10",0
"ENST00000377049.4-CORT","OK",0,178.800153438057,0.576795262859228,"ENST00000377049.4-CORT",0
"ENST00000506455.6-GUCY1A1","OK",0,163.58357773574,0.527667667182975,"ENST00000506455.6-GUCY1A1",0
"ENST00000613865.5-RPS24","OK",0,302.651365093277,0.97650098760005,"ENST00000613865.5-RPS24",0
"ENST00000659034.4-LINC02609","OK",0,179.870718547088,0.578700089107051,"ENST00000659034.4-LINC02609",0
"ENST00000328111.6-DNMT3B","OK",0,224.35034401429,0.723742739974839,"ENST00000328111.6-DNMT3B",0
"ENST00000252486.9-APOE","OK",0,266.654817470578,0.860378453501545,"ENST00000252486.9-APOE",0
"ENST00000331442.5-H1-5","OK",0,171.571013504676,0.553474976978955,"ENST00000331442.5-H1-5",0
"ENST00000651844.1-COPG2IT1","OK",0,161.818174000864,0.522095146027632,"ENST00000651844.1-COPG2IT1",0
"ENST00000259915.13-POU5F1","OK",0,303.17890210975,0.9782041160577,"ENST00000259915.13-POU5F1",0
"ENST00000403491.8-NFIA","OK",0,180.036165786407,0.580715023836499,"ENST00000403491.8-NFIA",0
"ENST00000621411.3-H3C2","OK",0,179.036295048864,0.577456370187413,"ENST00000621411.3-H3C2",0
"ENST00000367409.9-ASPM","OK",0,202.023460011413,0.651727194085543,"ENST00000367409.9-ASPM",0
"ENST00000368654.8-MKI67","OK",0,192.81976579129,0.622072371956125,"ENST00000368654.8-MKI67",0
"ENST00000680588.1-IFITM1","OK",0,220.286171906684,0.710677021115067,"ENST00000680588.1-IFITM1",0
"ENST00000302628.9-CALB2","OK",0,159.13686815561,0.513286895080326,"ENST00000302628.9-CALB2",0
"ENST00000498273.2-L1TD1","OK",0,273.705291690929,0.883117163280814,"ENST00000498273.2-L1TD1",0
"ENST00000544301.7-VIM","OK",0,199.089842029583,0.642350573546007,"ENST00000544301.7-VIM",0
"ENST00000606645.4-ENSG00000272449","OK",0,159.972160442337,0.515956543654471,"ENST00000606645.4-ENSG00000272449",0
"ENST00000389554.8-TBR1","OK",0,209.171107453385,0.672439004975596,"ENST00000389554.8-TBR1",0
"ENST00000414849.6-NUSAP1","OK",0,165.031476875347,0.532353975662097,"ENST00000414849.6-NUSAP1",0
"ENST00000268150.13-MFGE8","OK",0,241.317540106322,0.778550969204587,"ENST00000268150.13-MFGE8",0
"ENST00000603233.2-NFIA","OK",0,158.092113682847,0.509926965336028,"ENST00000603233.2-NFIA",0
"ENST00000377961.3-SCGN","OK",0,183.37265375519,0.591582666658195,"ENST00000377961.3-SCGN",0
"ENST00000230658.12-ISL1","OK",0,158.949487263159,0.512483553224889,"ENST00000230658.12-ISL1",0
"ENST00000310955.11-CDC20","OK",0,190.897509560022,0.615858120783785,"ENST00000310955.11-CDC20",0
"ENST00000396210.8-MGST1","OK",0,286.373324723444,0.923987325220884,"ENST00000396210.8-MGST1",0
"ENST00000249330.3-VGF","OK",0,231.047493976956,0.74552013505929,"ENST00000249330.3-VGF",0
"ENST00000271638.3-S100A11","OK",0,275.86641310703,0.890028604569338,"ENST00000271638.3-S100A11",0
"ENST00000276602.10-TERF1","OK",0,234.341133661739,0.756115447789037,"ENST00000276602.10-TERF1",0
"ENST00000352433.10-PTTG1","OK",0,177.792630824649,0.573651930051536,"ENST00000352433.10-PTTG1",0
"ENST00000288207.7-CCNB2","OK",0,181.435865760845,0.585368273974983,"ENST00000288207.7-CCNB2",0
"ENST00000372692.8-SET","OK",0,230.5883471768,0.744022416294181,"ENST00000372692.8-SET",0
"ENST00000374561.6-ID3","OK",0,253.855716245233,0.819020718026885,"ENST00000374561.6-ID3",0
"ENST00000714325.1-ENSG00000284294","OK",0,161.132233930696,0.519733668067107,"ENST00000714325.1-ENSG00000284294",0
"ENST00000821772.1-ENSG00000289533","OK",0,171.110727172632,0.551863295145569,"ENST00000821772.1-ENSG00000289533",0
"ENST00000301072.11-TUBA1C","OK",0,246.92536407424,0.796736955096676,"ENST00000301072.11-TUBA1C",0
"ENST00000326279.11-LIN28A","OK",0,264.491864652186,0.853358703211676,"ENST00000326279.11-LIN28A",0
"ENST00000256442.10-CCNB1","OK",0,212.135131532865,0.684456624634323,"ENST00000256442.10-CCNB1",0
"ENST00000439742.7-MXD3","OK",0,180.567313409312,0.582211691813261,"ENST00000439742.7-MXD3",0
"ENST00000271452.8-NUF2","OK",0,166.628051562241,0.537379515352308,"ENST00000271452.8-NUF2",0
"ENST00000395284.8-CDK1","OK",0,189.978811251186,0.612929578768501,"ENST00000395284.8-CDK1",0
"ENST00000388835.4-KRT18","OK",0,244.13775662942,0.787673753281054,"ENST00000388835.4-KRT18",0
"ENST00000301905.9-PBK","OK",0,174.191469855924,0.561843134377923,"ENST00000301905.9-PBK",0
"ENST00000372524.5-ZNF503","OK",0,201.894184647095,0.651133816439997,"ENST00000372524.5-ZNF503",0
